# Biome Registry

**Generated:** Fri Feb 20 17:20:52 CET 2026

Complete list of all registered biomes in the game.

---

**Total Biomes:** 278

- `aoa3:abyss` - Abyssal Wastelands (Temp: 0.00, Rain: 100.00)
- `aoa3:ancient_cavern` - Ancient Cavern (Temp: 0.00, Rain: 0.00)
- `aoa3:barathos` - Barathos (Temp: 2.00, Rain: 500.00)
- `aoa3:candyland` - Candyland (Temp: 0.40, Rain: 100.00)
- `aoa3:celeve` - Celeve (Temp: 0.50, Rain: 0.00)
- `aoa3:creeponia` - Creeponia (Temp: 0.40, Rain: 100.00)
- `aoa3:crystevia` - Crystevia (Temp: 0.40, Rain: 100.00)
- `aoa3:deeplands` - Deeplands (Temp: 0.00, Rain: 500.00)
- `aoa3:dustopia` - Dustopian Forest (Temp: 0.25, Rain: 500.00)
- `aoa3:gardencia` - Gardencia (Temp: 0.50, Rain: 0.70)
- `aoa3:greckon` - Greckon (Temp: 0.50, Rain: 500.00)
- `aoa3:haven` - Haven (Temp: 0.50, Rain: 0.00)
- `aoa3:immortallis` - Immortallis (Temp: 0.00, Rain: 0.00)
- `aoa3:iromine` - Iromine (Temp: 0.40, Rain: 100.00)
- `aoa3:lborean` - L'Borean Ponds (Temp: 0.50, Rain: 500.00)
- `aoa3:lelyetia` - Lelyetia (Temp: 2.00, Rain: 500.00)
- `aoa3:lunalus` - Lunalus (Temp: 0.00, Rain: 0.00)
- `aoa3:mysterium` - Mysterium (Temp: 0.40, Rain: 100.00)
- `aoa3:precasia` - Precasian Forest (Temp: 2.00, Rain: 100.00)
- `aoa3:runandor` - Runandor (Temp: 0.50, Rain: 0.00)
- `aoa3:shyrelands` - Shyrelands (Temp: 2.00, Rain: 500.00)
- `aoa3:vox_ponds` - Vox Ponds (Temp: 0.00, Rain: 0.00)
- `appliedenergistics2:storage_biome` - Storage Cell (Temp: -100.00, Rain: 0.50)
- `asmodeuscore:-=|worldengine 2|=-` - -=|WorldEngine 2|=- (Temp: 0.50, Rain: 0.50)
- `asmodeuscore:-=|worldengine|=-` - -=|WorldEngine|=- (Temp: 0.50, Rain: 0.50)
- `atum:dead_oasis` - Dead Oasis (Temp: 2.00, Rain: 0.00)
- `atum:deadwood_forest` - Deadwood Forest (Temp: 2.00, Rain: 0.00)
- `atum:dried_river` - Dried River (Temp: 2.00, Rain: 0.00)
- `atum:limestone_crags` - Limestone Crags (Temp: 2.00, Rain: 0.00)
- `atum:limestone_mountains` - Limestone Mountains (Temp: 2.00, Rain: 0.00)
- `atum:oasis` - Oasis (Temp: 2.00, Rain: 0.00)
- `atum:sand_dunes` - Sand Dunes (Temp: 2.00, Rain: 0.00)
- `atum:sand_hills` - Sand Hills (Temp: 2.00, Rain: 0.00)
- `atum:sand_plains` - Sand Plains (Temp: 2.00, Rain: 0.00)
- `biomesoplenty:alps` - Alps (Temp: -0.25, Rain: 0.30)
- `biomesoplenty:alps_foothills` - AlpsFoothills (Temp: -0.25, Rain: 0.30)
- `biomesoplenty:bamboo_forest` - Bamboo Forest (Temp: 0.90, Rain: 0.85)
- `biomesoplenty:bayou` - Bayou (Temp: 0.95, Rain: 0.90)
- `biomesoplenty:bog` - Bog (Temp: 0.50, Rain: 0.90)
- `biomesoplenty:boreal_forest` - Boreal Forest (Temp: 0.30, Rain: 0.60)
- `biomesoplenty:brushland` - Brushland (Temp: 1.50, Rain: 0.10)
- `biomesoplenty:chaparral` - Chaparral (Temp: 0.80, Rain: 0.40)
- `biomesoplenty:cherry_blossom_grove` - Cherry Blossom Grove (Temp: 0.55, Rain: 0.80)
- `biomesoplenty:cold_desert` - Cold Desert (Temp: 0.20, Rain: 0.00)
